common,scientific,order,family
Three-striped Warbler (Paria),Basileuterus tristriatus pariae,Passeriformes,Parulidae (New World Warblers)
Three-striped Warbler (Three-striped),Basileuterus tristriatus tristriatus/baezae,Passeriformes,Parulidae (New World Warblers)
Three-striped Warbler (Bolivian),Basileuterus tristriatus [punctipectus Group],Passeriformes,Parulidae (New World Warblers)
Three-banded Warbler,Basileuterus trifasciatus,Passeriformes,Parulidae (New World Warblers)
Gray-headed Warbler,Basileuterus griseiceps,Passeriformes,Parulidae (New World Warblers)
Basileuterus sp.,Basileuterus sp.,Passeriformes,Parulidae (New World Warblers)
Santa Marta Warbler,Myiothlypis basilica,Passeriformes,Parulidae (New World Warblers)
Citrine Warbler,Myiothlypis luteoviridis,Passeriformes,Parulidae (New World Warblers)
Citrine Warbler (Northern),Myiothlypis luteoviridis [luteoviridis Group],Passeriformes,Parulidae (New World Warblers)
Citrine Warbler (Peruvian),Myiothlypis luteoviridis striaticeps,Passeriformes,Parulidae (New World Warblers)
Citrine Warbler (Bolivian),Myiothlypis luteoviridis euophrys,Passeriformes,Parulidae (New World Warblers)
White-striped Warbler,Myiothlypis leucophrys,Passeriformes,Parulidae (New World Warblers)
Flavescent Warbler,Myiothlypis flaveola,Passeriformes,Parulidae (New World Warblers)
White-browed Warbler,Myiothlypis leucoblephara,Passeriformes,Parulidae (New World Warblers)
Pale-legged Warbler,Myiothlypis signata,Passeriformes,Parulidae (New World Warblers)
Black-crested Warbler,Myiothlypis nigrocristata,Passeriformes,Parulidae (New World Warblers)
Buff-rumped Warbler,Myiothlypis fulvicauda,Passeriformes,Parulidae (New World Warblers)
Riverbank Warbler,Myiothlypis rivularis,Passeriformes,Parulidae (New World Warblers)
Riverbank Warbler (mesoleuca),Myiothlypis rivularis mesoleuca,Passeriformes,Parulidae (New World Warblers)
Riverbank Warbler (rivularis/boliviana),Myiothlypis rivularis rivularis/boliviana,Passeriformes,Parulidae (New World Warblers)
Two-banded Warbler,Myiothlypis bivittata,Passeriformes,Parulidae (New World Warblers)
Two-banded Warbler (Roraiman),Myiothlypis bivittata roraimae,Passeriformes,Parulidae (New World Warblers)
Two-banded Warbler (Two-banded),Myiothlypis bivittata bivittata/argentinae,Passeriformes,Parulidae (New World Warblers)
Golden-bellied Warbler,Myiothlypis chrysogaster,Passeriformes,Parulidae (New World Warblers)
Golden-bellied Warbler (Golden-bellied),Myiothlypis chrysogaster chrysogaster,Passeriformes,Parulidae (New World Warblers)
Golden-bellied Warbler (Choco),Myiothlypis chrysogaster chlorophrys,Passeriformes,Parulidae (New World Warblers)
Gray-throated Warbler,Myiothlypis cinereicollis,Passeriformes,Parulidae (New World Warblers)
White-lored Warbler,Myiothlypis conspicillata,Passeriformes,Parulidae (New World Warblers)
Gray-and-gold Warbler,Myiothlypis fraseri,Passeriformes,Parulidae (New World Warblers)
Russet-crowned Warbler,Myiothlypis coronata,Passeriformes,Parulidae (New World Warblers)
Myiothlypis sp.,Myiothlypis sp.,Passeriformes,Parulidae (New World Warblers)
Canada Warbler,Cardellina canadensis,Passeriformes,Parulidae (New World Warblers)
Wilson's Warbler,Cardellina pusilla,Passeriformes,Parulidae (New World Warblers)
Wilson's Warbler (pileolata),Cardellina pusilla pileolata,Passeriformes,Parulidae (New World Warblers)
Wilson's Warbler (pusilla),Cardellina pusilla pusilla,Passeriformes,Parulidae (New World Warblers)
Wilson's Warbler (chryseola),Cardellina pusilla chryseola,Passeriformes,Parulidae (New World Warblers)
Red-faced Warbler,Cardellina rubrifrons,Passeriformes,Parulidae (New World Warblers)
Red Warbler,Cardellina rubra,Passeriformes,Parulidae (New World Warblers)
Red Warbler (Gray-cheeked),Cardellina rubra melanauris,Passeriformes,Parulidae (New World Warblers)
Red Warbler (White-cheeked),Cardellina rubra rubra/rowleyi,Passeriformes,Parulidae (New World Warblers)
Pink-headed Warbler,Cardellina versicolor,Passeriformes,Parulidae (New World Warblers)
Painted Redstart,Myioborus pictus,Passeriformes,Parulidae (New World Warblers)
Slate-throated Redstart,Myioborus miniatus,Passeriformes,Parulidae (New World Warblers)
Painted x Slate-throated Redstart (hybrid),Myioborus pictus x miniatus,Passeriformes,Parulidae (New World Warblers)
Brown-capped Redstart,Myioborus brunniceps,Passeriformes,Parulidae (New World Warblers)
Tepui Redstart,Myioborus castaneocapilla,Passeriformes,Parulidae (New World Warblers)
Paria Redstart,Myioborus pariae,Passeriformes,Parulidae (New World Warblers)
Saffron-breasted Redstart,Myioborus cardonai,Passeriformes,Parulidae (New World Warblers)
White-faced Redstart,Myioborus albifacies,Passeriformes,Parulidae (New World Warblers)
Collared Redstart,Myioborus torquatus,Passeriformes,Parulidae (New World Warblers)
Yellow-crowned Redstart,Myioborus flavivertex,Passeriformes,Parulidae (New World Warblers)
Golden-fronted Redstart,Myioborus ornatus,Passeriformes,Parulidae (New World Warblers)
Golden-fronted Redstart (Golden-fronted),Myioborus ornatus chrysops,Passeriformes,Parulidae (New World Warblers)
Golden-fronted Redstart (Yellow-fronted),Myioborus ornatus ornatus,Passeriformes,Parulidae (New World Warblers)
Spectacled Redstart,Myioborus melanocephalus,Passeriformes,Parulidae (New World Warblers)
Golden-fronted x Spectacled Redstart (hybrid),Myioborus ornatus x melanocephalus,Passeriformes,Parulidae (New World Warblers)
White-fronted Redstart,Myioborus albifrons,Passeriformes,Parulidae (New World Warblers)
Myioborus sp.,Myioborus sp.,Passeriformes,Parulidae (New World Warblers)
warbler sp. (Parulidae sp.),Parulidae sp.,Passeriformes,Parulidae (New World Warblers)
Brown Tanager,Orchesticus abeillei,Passeriformes,Thraupidae (Tanagers and Allies)
Red-crested Cardinal,Paroaria coronata,Passeriformes,Thraupidae (Tanagers and Allies)
Red-cowled Cardinal,Paroaria dominicana,Passeriformes,Thraupidae (Tanagers and Allies)
Masked Cardinal,Paroaria nigrogenis,Passeriformes,Thraupidae (Tanagers and Allies)
Red-capped Cardinal,Paroaria gularis,Passeriformes,Thraupidae (Tanagers and Allies)
Red-capped Cardinal (Red-capped),Paroaria gularis gularis,Passeriformes,Thraupidae (Tanagers and Allies)
Red-capped Cardinal (Bolivian),Paroaria gularis cervicalis,Passeriformes,Thraupidae (Tanagers and Allies)
Masked/Red-capped Cardinal,Paroaria nigrogenis/gularis,Passeriformes,Thraupidae (Tanagers and Allies)
Crimson-fronted Cardinal,Paroaria baeri,Passeriformes,Thraupidae (Tanagers and Allies)
Crimson-fronted Cardinal (Araguaia),Paroaria baeri baeri,Passeriformes,Thraupidae (Tanagers and Allies)
Crimson-fronted Cardinal (Xingu),Paroaria baeri xinguensis,Passeriformes,Thraupidae (Tanagers and Allies)
Red-capped x Crimson-fronted Cardinal (hybrid),Paroaria gularis x baeri,Passeriformes,Thraupidae (Tanagers and Allies)
Yellow-billed Cardinal,Paroaria capitata,Passeriformes,Thraupidae (Tanagers and Allies)
Black-faced Tanager,Schistochlamys melanopis,Passeriformes,Thraupidae (Tanagers and Allies)
Cinnamon Tanager,Schistochlamys ruficapillus,Passeriformes,Thraupidae (Tanagers and Allies)
Magpie Tanager,Cissopis leverianus,Passeriformes,Thraupidae (Tanagers and Allies)
White-banded Tanager,Neothraupis fasciata,Passeriformes,Thraupidae (Tanagers and Allies)
Black-and-white Tanager,Conothraupis speculigera,Passeriformes,Thraupidae (Tanagers and Allies)
Cone-billed Tanager,Conothraupis mesoleuca,Passeriformes,Thraupidae (Tanagers and Allies)
Red-billed Pied Tanager,Lamprospiza melanoleuca,Passeriformes,Thraupidae (Tanagers and Allies)
Scarlet-throated Tanager,Compsothraupis loricata,Passeriformes,Thraupidae (Tanagers and Allies)
White-capped Tanager,Sericossypha albocristata,Passeriformes,Thraupidae (Tanagers and Allies)
Hooded Tanager,Nemosia pileata,Passeriformes,Thraupidae (Tanagers and Allies)
